"ID","NAME","LONG","LAT","ALT","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC"
19423,NA,-117.333,33.666,392,10.8,12.1,13.3,15.7,18.9,22.7,26.2,26.3,23.7,19.2,14,10.8
19424,"RIVERSIDE-CIT-EXP-STN",-117.35,33.966,301,12,13.1,13.7,16.1,18.6,21.7,24.9,25.1,23,19.4,14.8,12
19426,"RIVERSIDE-FIRE-STN-3",-117.383,33.95,256,12.2,13.4,14.3,16.6,19.2,22.3,25.5,25.7,23.6,19.7,14.9,12
19427,"TRONA",-117.383,35.766,517,7.5,10.9,14,18,23,28.2,31.8,30.8,26.5,20.3,12.9,7.4
19430,"FONTANA-KAISER",-117.516,34.083,335,13.3,14.2,14.9,16.8,19.2,22.4,25.9,26.2,24.4,21.1,16.1,13.4
19432,"CORONA",-117.55,33.883,186,12.2,13.2,13.9,16,18.4,21.1,24.2,24.5,22.8,19.4,14.9,12
19437,"RANDSBURG",-117.65,35.366,1088,7.3,9.4,11.2,14.8,19.8,25,28.5,27.5,23.8,18.2,11.4,7.3
19442,"LAGUNA-BEACH",-117.783,33.55,11,12.1,12.7,12.9,14.2,16,17.6,19.6,20.2,19.8,17.8,14.6,12.1
19444,"POMONA-CAL-POLY",-117.816,34.066,226,12.4,13.4,13.9,15.8,17.9,20.5,23.6,24,22.7,19.6,15.4,12.5
19445,"INYOKERN",-117.833,35.666,749,7.1,10,12.3,15.8,20.9,25.9,29.1,28.2,24.2,18.6,11.6,7
19446,"SANTA-ANA-FIRE-STATION",-117.866,33.75,41,14.1,14.8,15.2,16.6,18.3,20.2,22.5,23.3,22.6,20.4,16.7,13.9
19452,"HAIWEE",-117.95,36.133,1166,4.5,7,9.5,13.2,18.2,23.4,26.7,25.7,21.8,16.1,9.4,4.7
19454,"DEEP-SPRINGS-COLLEGE",-117.983,37.366,1593,0.2,3.1,6,9.8,15,20.3,23.8,22.4,17.8,11.8,4.9,0.4
19459,"SAN-GABRIEL-FIRE-DEPT",-118.1,34.1,137,13.2,14.3,14.9,16.8,18.7,21.2,24.1,24.5,23.2,20.3,15.9,13.1
19460,"LONG-BEACH-LB-AIRP.-DAUG",-118.15,33.816,12,13.3,14.1,14.7,16.5,18.2,20.2,22.8,23.6,22.5,20.1,16.3,13.3
19461,"MOJAVE",-118.15,35.066,849,7.5,9.6,11.4,14.7,19.6,24.8,28.3,27.5,23.5,17.9,11.5,7.4
19466,"LOS-ANGELES-CIVIC-CTR",-118.233,34.05,78,14.6,15.6,15.9,17.4,18.8,21,23.5,24,23.2,20.9,17.2,14.6
19472,"TORRANCE-MUNICIPAL",-118.333,33.8,34,13.4,14,14.3,15.7,17.2,18.9,20.9,21.7,21.1,19.3,16,13.5
19474,"CULVER-CITY",-118.4,34.016,17,14,14.8,15.2,16.4,17.6,19.5,21.3,22,21.5,19.7,16.5,14.1
19475,"LOS-ANGELES-INT.-CA.",-118.4,33.933,32,14.6,15.5,15.7,17.1,18.6,20.8,23.3,23.8,23,20.9,17.4,14.8
19476,"KERN-RIVER-P-H-3",-118.433,35.783,824,7.7,9.3,10.9,14,18.6,23.3,27.1,26.5,23,17.7,11.3,7.6
19477,"U-C-L-A",-118.45,34.066,131,14.7,14.9,14.7,15.8,16.7,18.4,20.6,21.2,20.9,19.6,16.9,14.7
19479,"TEHACHAPI",-118.45,35.133,1224,5.4,6.4,7.4,9.9,14.2,18.8,22.4,21.6,18.3,13.5,8.3,5.3
19482,NA,-118.533,34.483,443,9.7,10.6,11.4,13.7,16.6,20.1,23.6,23.8,21.5,17.6,12.9,9.8
19483,NA,-118.566,34.183,241,12.2,13.3,14,16,18.4,21.4,24.6,24.9,22.9,19.5,14.9,12.1
19488,"POSEY-3-E",-118.633,35.8,1512,4.2,4.5,5.1,7.5,11.6,15.7,20,19.4,16.4,12,6.6,3.9
19493,NA,-118.783,35.466,296,10.1,13.2,15.1,18.5,22.9,27.5,30.8,30,27.1,22.3,15.3,10.1
19494,"ASH-MOUNTAIN",-118.833,36.483,521,8.3,10.2,11.5,14.3,18.9,24,28,27.5,23.9,18.9,12.5,8.5
19496,"THREE-RVRS-EDISON-PH-1",-118.866,36.466,347,8.1,10.6,12.3,15.3,19.7,24.4,27.7,27.1,23.8,18.5,12,8.1
